GeneName,FC,P,FDR,Color,Significance
SOX18,-0.033867919,0.842182449,0.927942702,#D3D3D3,0.074593813
TMEM145,-0.040648701,0.88698036,0.949992565,#D3D3D3,0.052085996
AMPD2,0.164670855,0.338490514,0.596446363,#D3D3D3,0.470453498
SLC24A3,-0.729776544,0.036086816,0.157766941,#0072B2,1.442651436
ZCCHC24,-0.221632666,0.308897784,0.567429236,#D3D3D3,0.510185208
MYT1,-0.299150421,0.355411711,0.611922461,#D3D3D3,0.449268267
ZNF860,0.803746908,0.018517159,0.102863613,#56B4E9,1.732425637
CFL2,-0.268364629,0.377273704,0.630196334,#D3D3D3,0.423343464
KLHL13,0.467816259,0.476658069,0.708217367,#D3D3D3,0.321793051
METTL14,0.510550346,0.141049872,0.364164558,#D3D3D3,0.850627304
AMOTL1,0.042414148,0.892190221,0.952309942,#D3D3D3,0.049542541
IAPP,-0.550675607,0.042396498,0.173658801,#0072B2,1.372670014
ZIC5,-0.27871026,0.104085042,0.30556833,#D3D3D3,0.982611677
CCDC63,0.211450101,0.678379722,0.84184777,#D3D3D3,0.168527142
OTUB1,0.069082406,0.656504738,0.830301936,#D3D3D3,0.182762135
P2RX3,0.05990643,0.772746734,0.89231757,#D3D3D3,0.111962822
RLIM,-0.279307825,0.230968636,0.483150724,#D3D3D3,0.636446991
RSPH6A,-0.653267369,0.027524392,0.132966499,#0072B2,1.560282266
TRIT1,-0.303797234,0.29536182,0.552607297,#D3D3D3,0.529645644
PPT2,-1.106958857,0.001315559,0.016032125,#0072B2,2.880889714
ARCN1,-0.477206586,0.018799772,0.103851644,#D3D3D3,1.725847407
STMN2,-1.216610898,0.000414265,0.006928126,#0072B2,3.382721936
ANKIB1,-0.061166058,0.787288071,0.899799715,#D3D3D3,0.103866329
DENND10,-0.183793548,0.25607762,0.51186723,#D3D3D3,0.591628375
CFAP94,0.554891282,0.22498325,0.475792629,#D3D3D3,0.647849814
CAPN3,0.075603053,0.722581048,0.866012496,#D3D3D3,0.141113434
CLIC6,-0.408226386,0.177538578,0.417443526,#D3D3D3,0.750707263
ARRDC4,-0.289570494,0.533409492,0.749298515,#D3D3D3,0.27293926
PANK2,-0.116384153,0.383675601,0.635195311,#D3D3D3,0.416035818
EPHB4,-0.084651137,0.397282413,0.6469031,#D3D3D3,0.40090066
MTARC2,-0.083397294,0.729129687,0.868708592,#D3D3D3,0.137195219
SMC3,-0.101939416,0.741141987,0.875873378,#D3D3D3,0.130098582
REG3G,-0.499663014,0.221093765,0.471588734,#D3D3D3,0.655423505
HORMAD2,-0.399060766,0.147205244,0.372634001,#D3D3D3,0.83207672
GNG7,0.41330341,0.066535486,0.230587391,#D3D3D3,1.176946666
PIGW,-0.302414726,0.37338182,0.627370728,#D3D3D3,0.427846832
NUP160,0.634333206,0.002874312,0.028013708,#56B4E9,2.541466032
ZNF687,0.53869518,0.017329113,0.098537407,#56B4E9,1.761223659
PICK1,0.018784901,0.957824395,0.983032995,#D3D3D3,0.018714106
IKBKG,0.263897432,0.130513171,0.347608879,#D3D3D3,0.884345659
ROBO3,-0.459003245,0.145705577,0.371010998,#D3D3D3,0.836523825
SULT1C3,-0.090501019,0.561950253,0.77007176,#D3D3D3,0.250302129
DERL2,-0.322777255,0.061318062,0.219510325,#D3D3D3,1.212411583
AKIRIN1,0.168957937,0.167627836,0.403081688,#D3D3D3,0.77565386
RNF220,0.495419315,0.018674553,0.103359844,#D3D3D3,1.728749796
RICTOR,0.298303876,0.036658784,0.159115926,#D3D3D3,1.435821949
SLC27A1,-0.569473389,0.003260017,0.03048639,#0072B2,2.486780106
GPR132,0.226881058,0.245084058,0.499413216,#D3D3D3,0.610684938
DDX11,0.472046651,0.001043495,0.013545461,#D3D3D3,2.981509517
OLFML2A,-0.341470065,0.304044694,0.561882596,#D3D3D3,0.517062571
SASH1,-1.028925123,0.000914881,0.012266829,#0072B2,3.038635404
HMCES,0.257757303,0.578993989,0.781669712,#D3D3D3,0.237325945
C11orf24,-0.465003344,0.003102708,0.029533492,#D3D3D3,2.508259075
DLG5,-0.709162014,0.003506818,0.032209211,#0072B2,2.455086833
EEA1,0.057752643,0.822134117,0.918727516,#D3D3D3,0.085057329
ATP6V0A2,0.459950884,0.1206581,0.332349721,#D3D3D3,0.918443517
MAP2K3,-0.137051977,0.433271174,0.677272525,#D3D3D3,0.363240204
TRIM59,0.34182879,0.079339863,0.258544868,#D3D3D3,1.100508552
HSD3B2,0.168270014,0.447377355,0.68780874,#D3D3D3,0.349326002
PEMT,-0.070151764,0.752073917,0.881648035,#D3D3D3,0.123739473
AVP,-0.144155701,0.717824745,0.863725592,#D3D3D3,0.143981575
CD79B,0.662749999,0.006882105,0.052088498,#56B4E9,2.162278676
ICAM5,0.013650767,0.951519474,0.980490903,#D3D3D3,0.021582319
PROM1,-1.065323018,3.48E-05,0.001185688,#0072B2,4.458088498
IQCM,-0.652097435,0.056676589,0.207748419,#D3D3D3,1.246596295
FANCG,0.166075064,0.322882976,0.580730856,#D3D3D3,0.490954853
C11orf49,0.187783016,0.401666928,0.650681892,#D3D3D3,0.396133925
IL36RN,0.041287557,0.851867303,0.932832064,#D3D3D3,0.069628051
FAM135A,-0.763820995,0.018958936,0.104456982,#0072B2,1.722186037
HSPA2,-0.108377137,0.619864528,0.808772455,#D3D3D3,0.207703216
MROH6,-0.589229864,0.342573623,0.600305244,#D3D3D3,0.46524608
GTPBP10,0.091562395,0.62816747,0.813894107,#D3D3D3,0.201924557
UGT8,0.386889687,0.362333852,0.617594533,#D3D3D3,0.440891089
B3GALNT2,-0.254627667,0.055443685,0.204695339,#D3D3D3,1.256147915
C3orf52,-0.360964876,0.193537206,0.437659475,#D3D3D3,0.713235534
DAXX,0.459306482,0.066993874,0.231613284,#D3D3D3,1.173964905
CAMTA1,-0.344655817,0.042558604,0.173928881,#D3D3D3,1.371012631
LCE2C,0.163001579,0.508292361,0.731076929,#D3D3D3,0.293886417
FAM53B,1.053420271,8.29E-06,0.00044519,#56B4E9,5.081227685
RNF126,0.299800901,0.205565488,0.452222729,#D3D3D3,0.687049797
MYZAP,-0.001729209,0.994260672,0.997575269,#D3D3D3,0.002499739
DDX31,0.532469552,0.105013857,0.306857942,#D3D3D3,0.978753392
DDX58,0.975782527,0.021153987,0.112363472,#56B4E9,1.674607769
MED4,0.009783351,0.925681357,0.96743527,#D3D3D3,0.033538483
SLC25A22,-0.20062001,0.223676797,0.474672467,#D3D3D3,0.650379065
SMIM22,-1.125578134,0.000138907,0.003211436,#0072B2,3.857276205
PYCR3,0.264909392,0.134342651,0.353106337,#D3D3D3,0.871786085
